('Total Revenue', '94,399,000', '85,965,000', '70,697,000', '55,838,000', '40,653,000')
         410553 function calls (398801 primitive calls) in 0.974 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      308    0.000    0.000    0.000    0.000 css_parser.py:239(css_unescape)
      273    0.000    0.000    0.000    0.000 css_parser.py:335(match)
      169    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        2    0.000    0.000    0.000    0.000 request.py:2486(getproxies_environment)
        2    0.000    0.000    0.000    0.000 queue.py:1(<module>)
      330    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      172    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
     2675    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       69    0.000    0.000    0.000    0.000 css_types.py:212(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
     1437    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
